# GLP (2015) small/medium-VAR panel: the Stock-Watson (2008) US quarterly dataset exactly as
# Giannone, Lenza & Primiceri's own web replication code consumes it (their DataSW.mat / loaddata.m:
# y = [log(YQ)*400 YMQ]/100 -- annualized log-levels, 4*log, for the six quantity/price indexes;
# the federal funds rate quarterly-averaged from monthly and divided by 100). 1959Q1-2008Q4, 200 quarters.
# Columns (short names from their ShortDescr):
#   rgdp_4log   = 4*log Real GDP, quantity index (2000=100), SAAR                     [BEA]
#   pgdp_4log   = 4*log GDP price index (2000=100), SAAR                              [BEA]
#   cons_4log   = 4*log Real personal consumption expenditures, quantity index       [BEA]
#   gpdinv_4log = 4*log Real gross private domestic investment, quantity index       [BEA]
#   hours_4log  = 4*log Hours of all persons, nonfarm business sector (1982=100, SA) [BLS]
#   rcomp_4log  = 4*log Real compensation per hour, nonfarm business (1982=100, SA)  [BLS]
#   fedfunds_dec = effective federal funds rate, % per annum / 100                    [FRB]
# GLP's small VAR is (rgdp_4log, pgdp_4log, fedfunds_dec); their medium VAR is all seven columns.
# Source: Giannone, D., Lenza, M. & Primiceri, G. E. (2015), "Prior Selection for Vector
# Autoregressions", REStat 97(2):436-451 -- the authors' web replication files
# (GLPreplicationWeb/Data/DataSW.mat, created 2013-07-06), obtained from the public GitHub mirror
# FRBNY-DSGE/BrookingsPC2020 (src/ReplicationFilesVAR/GLPreplicationWeb/), retrieved 2026-08-19.
# The underlying series are US-government statistical data (BEA/BLS/FRB; public domain), compiled by
# Stock & Watson (2008). Redistribution notice kept per the mirror's README: "The VAR code is
# copyright of Giorgio Primiceri. [...] You may reproduce, use, modify, make derivative works of,
# and distribute and this code in whole or in part so long as you keep this notice in the
# documentation associated with any distributed works." Please cite GLP (2015) if you use this file.
year,quarter,rgdp_4log,pgdp_4log,cons_4log,gpdinv_4log,hours_4log,rcomp_4log,fedfunds_dec
1959,1,12.774232067535644,12.116668198560914,12.479049687883364,10.796037825800244,16.385370259539094,16.488228003154546,0.025699999999999997
1959,2,12.87806248062216,12.122659840376054,12.546322328565482,11.120491079575448,16.461161306950252,16.521741529465817,0.03083333333333333
1959,3,12.8750232706705,12.134038551552084,12.591065717637957,10.829266394993835,16.4493927466467,16.527974112027433,0.03576666666666666
1959,4,12.889080231744865,12.149991291145835,12.596730833067424,10.961036840496904,16.449981997726017,16.54245782568127,0.039900000000000005
1960,1,12.977082519552571,12.159570757358582,12.632594791193128,11.37917239195482,16.474587418980263,16.622323046770695,0.03933333333333333
1960,2,12.95706605806374,12.177137256544624,12.681598445644346,10.948623304963455,16.481673337573792,16.621821361420817,0.03696666666666666
1960,3,12.963331968880972,12.195764927540536,12.665105658899238,10.923940689538824,16.45894100747934,16.642276644525317,0.029366666666666666
1960,4,12.91118368897104,12.213362344697217,12.669656380974402,10.398294899064503,16.421599571596342,16.63390700327114,0.02296666666666667
1961,1,12.935215381809748,12.217891074306365,12.66931946793988,10.496354855685349,16.39911905884816,16.661448197829525,0.020033333333333334
1961,2,13.00970659351713,12.225239341758378,12.728847361986436,10.786069141153943,16.389759068517613,16.71884612944009,0.017333333333333333
1961,3,13.07401493308007,12.2357671478075,12.748219463513458,11.109061080494733,16.413217214374292,16.7329000988639,0.016833333333333332
1961,4,13.15495060814847,12.246080056367976,12.827860695369463,11.1766669335731,16.463706604354602,16.755587516653293,0.023999999999999994
1962,1,13.22622791003214,12.268861500703421,12.870380019873913,11.407909479635412,16.478359470312554,16.804416395174538,0.024566666666666667
