# Uhlig (2005) monthly US macro dataset, 1965:1-2003:12 (T = 468, 6 series).
# Columns: y = real GDP (quarterly, interpolated to monthly), yd = GDP deflator, p = commodity price index,
#   i = federal funds rate (percent), rnb = nonborrowed reserves, rt = total reserves.
# All series except the federal funds rate are 100*log of the original series (the paper's transformation).
# Source: Uhlig, H. (2005), "What are the effects of monetary policy on output? Results from an agnostic
#   identification procedure", Journal of Monetary Economics 52(2):381-419. Obtained verbatim from the
#   `uhligdata` object of the R package VARsignR 0.1.3 (Danne, CRAN, GPL >= 3); the numbers themselves are
#   the underlying US macroeconomic series (FRED/BEA US-government statistics; commodity price index from
#   Global Financial Data via the RATS replication archive), with quarterly series interpolated to monthly
#   per Bernanke-Gertler-Watson (1997) and Bernanke-Mihov (1998). Redistributed with attribution;
#   please cite Uhlig (2005) and VARsignR if you use this file. Retrieved 2026-08-18.
date,y,yd,p,i,rnb,rt
1965-01,803.5612404752289,310.7273648286899,2018.738040609907,3.9,245.55636575911262,248.08986283904613
1965-02,804.1287378501822,310.8167702883779,2017.9611775167427,3.98,244.05192790833595,247.5108807307889
1965-03,804.8455959950227,310.9060958860994,2015.8072777405835,4.04,243.99092838572645,247.5192957600361
1965-04,805.008775833979,311.0845080654496,2016.040278234288,4.09,244.85019678942007,248.8483578278343
1965-05,805.4732244487385,311.26260250254904,2015.7974875635339,4.1,243.51034726941901,247.75462953817078
1965-06,806.0817873429019,311.44038032714894,2013.9977525265533,4.04,243.9473345056167,248.53232296732165
1965-07,806.9135772702589,311.52915086116303,2012.9060234674826,4.09,244.61658214715695,249.09715543502503
1965-08,807.544576882985,311.6178426629858,2014.4818972006944,4.12,244.50390607889793,249.14684076231413
1965-09,808.1289494167506,311.7064558721516,2014.8659076266106,4.01,244.38242046867705,249.08058817189902
1965-10,809.0913964626917,312.0159851929043,2013.7868110257753,4.08,245.3587966530573,249.46919505227973
1965-11,809.791613600229,312.2805356117467,2014.1588293304774,4.1,245.57352724877205,249.213049487732
1965-12,810.865937964961,312.5443880075648,2016.8012942733894,4.32,247.41826864250248,251.08992300622538
1966-01,811.8248777298202,312.5882958019036,2019.0134138874093,4.42,247.4435349920705,250.91926756681556
1966-02,812.3261319121746,312.982600803469,2019.5218195245773,4.6,246.05285710600003,250.08620165781275
1966-03,812.8514401408131,313.2446096869813,2019.445066725841,4.65,245.13498662591573,249.8480769815118
1966-04,812.5198942495917,313.50593387750905,2020.059930213958,4.67,245.28138062407368,250.61787850635397
1966-05,812.7044190619788,313.8099514840913,2020.5798522568796,4.9,244.8847599972298,250.65865987798887
1966-06,812.8198695012454,313.98326175277475,2022.4405690479268,5.17,244.65988531329504,250.60156129982354
1966-07,813.1195360262964,314.32898379116057,2024.630574754082,5.3,245.3501978310906,251.5355023880695
1966-08,813.2074680272981,314.84533605716547,2022.6170585386246,5.53,243.62414778067193,249.85629762354858
1966-09,813.6866450193771,315.23085805960875,2017.1045554719467,5.4,243.88627112865936,250.38101802072327
1966-10,814.0525430667875,315.52968432253294,2014.0071238350395,5.53,243.9298916309868,250.13539811666004
1966-11,813.936756911149,315.70004211501134,2014.1974740090625,5.76,245.0832669454249,250.18457038449236
1966-12,814.428142655907,315.87011018321306,2016.2978818786378,5.4,245.8733775483977,250.3319422795126
1967-01,815.2062599029844,315.99747169480395,2015.5241286755142,4.94,247.85531758158248,251.23596765693011
1967-02,815.0026255666809,316.2093810769216,2015.6390660796894,5.0,247.7882034851036,250.79719227189963
1967-03,814.8532417830122,316.29401925378977,2015.8143043251755,4.53,250.44641490035312,252.07563026816976
1967-04,815.2010732407732,316.50530181706944,2014.351341093942,4.05,251.30080798988752,252.4768183213131
1967-05,814.8416747375118,316.5896900077314,2014.8737626996294,3.94,251.19542108864158,251.91470329427008
1967-06,815.036689642113,317.0525563927154,2014.765648864962,3.98,251.37370314558774,252.22827139039558
1967-07,815.2679029513703,317.3878458937465,2012.4760976858752,3.79,253.4252215249132,254.33327782566124
1967-08,816.2208247194604,317.7220149599368,2010.622803866783,3.9,253.35380711997374,253.98682078619746
1967-09,815.9606403302508,318.0550710546533,2012.7104340839512,3.99,254.61585258197636,255.3032478835601
1967-10,815.8982783541585,318.3870215669386,2013.7988145935335,3.88,256.17905274532774,257.1695779860391
1967-11,816.4988242148956,318.8416617383492,2015.760799752469,4.13,256.48724314258817,257.4975846876868
1967-12,817.3093136819646,319.17101567954313,2018.4205677044665,4.51,256.1250216375334,257.8700529074361
1968-01,817.9272706589674,319.54024686825585,2018.5500817629122,4.6,256.44107509005994,258.316701895552
1968-02,818.6503404163678,319.90811975400214,2017.6165347421545,4.71,255.06163598160344,257.9307325209485
1968-03,819.2487457191944,320.2746442938317,2017.5101900532425,5.05,252.78863148620547,257.91556606911075
1968-04,819.6428542182095,320.5993199037187,2016.4439562263365,5.76,252.02737936252916,257.3909098833009
1968-05,820.4299971958349,320.88254890146993,2016.4374563986617,6.11,251.68089821336017,257.4899688314705
1968-06,820.7998710825703,321.28577525426374,2014.6754456441893,6.07,253.0278279006827,258.4073021282499
1968-07,820.8592509191412,321.6071897535466,2013.6177965831032,6.02,255.93955017787397,259.9350784178869
1968-08,820.9963979028603,321.88758248682007,2014.1893939359993,6.03,255.52874465497996,259.82353350950035
1968-09,821.0591941311696,322.2867846137739,2015.5954514193556,5.78,255.96275293137145,259.78632420674546
1968-10,820.9049874827813,322.8826155721369,2016.1373893032269,5.91,257.1542956447547,260.48355296212236
1968-11,821.475207141014,323.2778730037192,2018.6402676167852,5.82,257.29175271107135,261.36662588740586
1968-12,821.7945831437132,323.75012889913654,2019.4021220220616,6.02,256.6563438746591,262.2274424080806
1969-01,822.4479816495921,324.02458506043934,2019.046203609101,6.3,255.66845284287007,261.21998754453756
1969-02,822.9841730972951,324.2592351485517,2018.755200521252,6.61,255.55980779105334,261.8417208862173
1969-03,823.4347405255907,324.8434627109745,2018.570533324771,6.79,254.56096999014045,261.39592777026144
1969-04,823.2062528017133,325.26973733437114,2019.67229753048,7.41,252.31653619050905,260.0539226716431
1969-05,823.0137589357563,325.5786178888298,2020.139379217319,8.67,252.33257596919452,262.7851925773098
1969-06,823.5031851637154,326.1168737058452,2019.6015259118112,8.9,251.85025992165157,262.43062076692496
1969-07,823.8388927676599,326.65224783355535,2018.3954829618851,8.61,250.46275744002014,260.202279645668
1969-08,823.9303021426925,327.03291064571164,2018.8556538728014,9.19,253.09151709955552,262.3508499225629
1969-09,823.8076993550328,327.52561583043087,2019.751904415671,9.15,254.49821012301422,262.6261525669202
1969-10,823.6190098176274,327.9406324608233,2020.9466813672873,9.0,254.58449478930797,263.2176568523036
1969-11,823.1974748402429,328.3914221047423,2021.1936219530287,8.85,256.2561894353604,265.1268187003226
1969-12,823.3375642066607,328.8401887516811,2019.7919749661519,8.97,256.871150248011,265.0985900480532
1970-01,822.9764420214319,329.32409068235074,2020.4579985705277,8.98,257.474735378779,264.525238627817
1970-02,823.2881433069916,329.8056622742642,2018.8425197219594,8.98,256.640982891526,264.6103872883224
1970-03,823.3874917065957,330.2849258644379,2017.871254293821,7.76,257.81692802476897,264.41159418061187
1970-04,823.245345271858,330.83508312958037,2018.372050563377,8.1,259.25645244945105,265.3875566655938
1970-05,823.3750121683755,331.1272674134168,2017.6173193576353,7.94,256.80215564985065,263.95572046569094
1970-06,823.5975513006995,331.5276319154516,2017.308833542544,7.6,257.99895310346926,264.46132951859397
1970-07,824.2961587808771,331.70908723651553,2017.5381873744357,7.21,254.93670428736544,265.0350464302834
1970-08,824.4693941047885,331.8902138935325,2021.042095919194,6.61,259.8607289720828,265.9000003126918
1970-09,824.1002176479911,332.2875414886685,2022.1548688122155,6.29,262.8068602672577,267.0486780547244
1970-10,822.8040705102334,332.6832966373293,2020.8020694813688,6.2,264.02708786809205,267.276838695757
